(27, 'Stay', '2019-07-07', 'https://i.scdn.co/image/ab67616d0000b273377517e387ff1c2fe6aba22d', '0Obzzsjs1IJgVyj7S5rwJ0', 'MPREb_2Zhfd6vry2m'),
(28, 'Holding Absence', '2019-03-01', 'https://i.scdn.co/image/ab67616d0000b273580f566713ef339386f200e9', '6xEQWs9XbaJBGAy4Jv7piM', 'MPREb_5TjPJUiPeXZ'),
(29, 'Silent Scream', '2009-12-18', 'https://i.scdn.co/image/ab67616d0000b2734aff8b466385464da447eac6', '4edpC32ffcIaKlVJBVyNNa', 'MPREb_AeAAQrqpfpy'),
(30, 'Deeper Than Hell', '2017-04-28', 'https://i.scdn.co/image/ab67616d0000b2734cd698d163ebc1de5850a069', '6uNOvaaxe4uYu9K0QAlSP3', 'MPREb_kkNY3oBkZBE'),
(31, 'Globe, Vol. 1', '2016-10-28', 'https://i.scdn.co/image/ab67616d0000b273f05e6dfa0d716bfc8e6aa7a4', '1eSaZcyblWVOWv9Q43zMUq', 'MPREb_D2FFqgZyxL8'),
(32, 'The Plague Within', '2015-06-02', 'https://i.scdn.co/image/ab67616d0000b2737d5fbcccead2b9394b076954', '6uw9cFvx49K9gOTJTeHDA6', 'MPREb_0euRnRTqyj8'),
(33, 'Catharsis', '2018-01-26', 'https://i.scdn.co/image/ab67616d0000b273313fb72a43ee12c455d02f5f', '5OhAVXSslPqvWkh7XEj4Wq', 'MPREb_IzDmD6HDylD'),
(34, 'Franz Ferdinand', '2004-02-16', 'https://i.scdn.co/image/ab67616d0000b27309a90531b85be7899c3234c4', '0vi5ePiEHrGZJF7QhnDW2z', 'MPREb_HCCvhivju11'),
(35, 'Get Some', '1997-01-01', 'https://i.scdn.co/image/ab67616d0000b273c31acd76454b29586f1121b4', '73HoiOlintxrZhZHV9zSda', 'MPREb_GQv1ExiJ1Zw'),
(36, 'Low Teens (Deluxe Edition)', '2016-09-23', 'https://i.scdn.co/image/ab67616d0000b273ff2db662746917b1675281fc', '6YIQv7ZD6WRY2NM88FBucx', 'MPREb_adnNFkyYKaI'),
(37, 'Beautiful Oblivion', '2019-10-04', 'https://i.scdn.co/image/ab67616d0000b27370b353a17d80ce16fd17a36c', '3a80X6BUzwOJXrwA6TSc3J', 'MPREb_fuQOiMhPe3X'),
(38, 'Rage', '2021-08-27', 'https://i.scdn.co/image/ab67616d0000b273ee852351eb06e3bf0aa62697', '1ywnN4cbTEzEidQxfKAFTN', 'MPREb_8mWHHF0TSBA'),
(39, 'Kill Me', '2020-12-18', 'https://i.scdn.co/image/ab67616d0000b273f37ab9b305daf09192c581f0', '7cNwDspYZXIqoTWI2S4LVa', 'MPREb_K1CDqNgdn0j'),
(40, '...And the Circus Leaves Town', '1995-05-30', 'https://i.scdn.co/image/ab67616d0000b2732514cc5440791ec9f69a7b1a', '6O5lhr0v3ci9fMEIK5g5a9', 'MPREb_KfOu3PeXAYl'),
(41, 'L’enfer', '2022-01-09', 'https://i.scdn.co/image/ab67616d0000b2739b90e4ccf55c0a23a13f4eae', '7bSSz8KnOpZaJor6Cs3GkM', 'MPREb_9m3TFMJAQ8P'),
(42, 'Under a Godless Veil', '2020-10-30', 'https://i.scdn.co/image/ab67616d0000b273ca9d6fa9f34b30607a7ffdba', '4piC4Fef3riuaqWsywyKri', 'MPREb_QzG0rdjYht1'),
(43, 'Euphoria', '2022-01-14', 'https://i.scdn.co/image/ab67616d0000b273708343a47ecb900a4602f19c', '5YEVvBgnmWsTbzxtLjSBNM', 'MPREb_m4V3ZXkk8dp'),
(44, 'SKIN', '2022-03-11', 'https://i.scdn.co/image/ab67616d0000b273b0bcac9fe49171cbdbc1060f', '6gl8rX7dP20vjIQPi1mlDO', 'MPREb_tv86REGdAta'),
(45, 'Takizawa', '2021-12-17', 'https://i.scdn.co/image/ab67616d0000b273608e85968bee1886a3d0b687', '7fKJxDb9TVLkhnniBoBgs1', 'MPREb_WfAMux4WC5p'),
(46, 'MIDDLE OF THE NIGHT', '2020-01-10', 'https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e', '4hYYpUC8Ewb74tP23Y1lmM', 'MPREb_9q9AF1Vwl1J'),
(47, 'Middle Of The Night', '2022-03-20', 'https://i.scdn.co/image/ab67616d0000b2733e4062dba08ded2ece33e7e4', '73NJSMIlm9UWINJMxnY5JS', 'MPREb_kk9JrpcLflZ'),
(48, 'Killing Me', '2020-02-07', 'https://i.scdn.co/image/ab67616d0000b2738216947b024ad57531e32e29', '0gkGnwAVosx5vQ8LcQD2C1', 'MPREb_675o24XlgvE'),
(49, 'Yenta', '2022-03-23', 'https://i.scdn.co/image/ab67616d0000b2736ad52ea5687841cbf1835970', '3XVZnD9SKNPcN3YJvho9Y7', 'MPREb_9CK4mXgPKRd'),
(50, 'Fear & Dagger', '2022-03-25', 'https://i.scdn.co/image/ab67616d0000b27395ca0c900f715f50c135e943', '5oYXUzd3epaervDjXmCJUv', 'MPREb_urNvriteisT'),
(51, 'Whatever', '2022-08-19', 'https://i.scdn.co/image/ab67616d0000b2732c88c5d6e84f19fe85e6ff7d', '780lYXAlLWOJgqul0JiKw5', 'MPREb_Y4hAZ5OxoAF'),
(52, 'Nostalgia', '2015-02-21', 'https://i.scdn.co/image/ab67616d0000b273c6853bb1af2bed82d15918f4', '4FdPaL1MvZtioq0Uf74Jau', 'MPREb_VeceVXNknDY'),
(53, 'Your Love Is My Drug (8 Bit Slowed)', '2021-07-01', 'https://i.scdn.co/image/ab67616d0000b273a6cda792faf2a9683811ce86', '6dioQOqa8xBNJTZFRS0zoE', 'MPREb_Ceud8PuMuGY'),
(54, 'Deimos', '2022-04-15', 'https://i.scdn.co/image/ab67616d0000b2738b33d2c0fe47acbd7924473c', '63U9Mk3CmXR61nimI8Tk1p', 'MPREb_mSUCKyEXSuB'),
(55, 'All is Not Well', '2022-05-06', 'https://i.scdn.co/image/ab67616d0000b273c04a057cfd4d7e04df458f7f', '23chZn4E2kno2KExZPrSqH', 'MPREb_XSjW4ue9nFk'),
(56, 'MALIZIA', '2022-07-29', 'https://i.scdn.co/image/ab67616d0000b2730e7d9b1a1edd0eb1d5293247', '7rtrTAtDq8S4vlxL2FpQdv', 'MPREb_9MM44BQ6Zrw'),
(57, 'Anxiety', '2022-05-13', 'https://i.scdn.co/image/ab67616d0000b2737a337c9235eda3ace63302a5', '75ytZn0fccZEIZP7dY4csy', 'MPREb_XDYUdIltNzP'),
(58, 'Reincarnation', '2019-12-11', 'https://i.scdn.co/image/ab67616d0000b273c0a2c131dc2d42497864fc08', '13ZyuaIRHlu2wxzfKW9BeT', 'MPREb_f3yCmJZEHJO'),
(59, 'Miss Machine', '2004-07-20', 'https://i.scdn.co/image/ab67616d0000b2734688955962b5e267448efb95', '6WcZTpAxpMYHAunYfI24X7', 'MPREb_X0izFY2MdZ7'),
(60, 'Deadweight', '2017-08-04', 'https://i.scdn.co/image/ab67616d0000b273cf835d6ada985cb303254f96', '0c4JrJyBCQHU0Pq3td483f', 'MPREb_s5NNmJSGfQR'),
(61, 'Smut Kingdom', '2018-04-13', 'https://i.scdn.co/image/ab67616d0000b273c5a96f14f3efd8bc0584b867', '6jDUKZh6dtOIo3HujEBtvq', 'MPREb_z1ynGiqjOZj'),
(62, 'Dimensional Bleed', '2022-07-12', 'https://i.scdn.co/image/ab67616d0000b27373d8efba4118481e8d4a3964', '1P7aLqfoIPEfSO6GiOFI5z', 'MPREb_L0wUu2H0Pwd'),
(63, 'Stargazer', '2022-06-10', 'https://i.scdn.co/image/ab67616d0000b273143e8c71cd881c9d0255d402', '6xKM5VYZoDt0H0mPu2Blru', 'MPREb_0CpS2rgZEyL'),
(64, 'Lost in the Waves', '2021-03-19', 'https://i.scdn.co/image/ab67616d0000b273044327565119bf13591a654d', '2nnAMneGs3RN6pkl9SxwDt', 'MPREb_DqesLmS2l0r'),
(65, 'Fate tutti il vostro dovere!', '2018-04-07', 'https://i.scdn.co/image/ab67616d0000b27387807e29a9529c5dfa2ed552', '1yPUvkj4wAyg42uBrTl8vR', 'MPREb_C7rOEayr75o'),
(66, 'Eugnot', '2021-01-14', 'https://i.scdn.co/image/ab67616d0000b27392bb0eb45edee190f07a1fed', '6TaT2p4dfTLCSm3Mrn2ikn', 'MPREb_yIQh96Jsaja'),
(67, 'Serial Grinder', '2005-10-12', 'https://i.scdn.co/image/ab67616d0000b27381f25466d7a7d61abe26899b', '6fHrr1IZoqqHJbHEwxQgsP', 'MPREb_3WQUrYQmeXs'),
(68, 'Back to Reality', '2018-10-26', 'https://i.scdn.co/image/ab67616d0000b27339ae84d0622d3b08e03940e7', '5O9VmIoRcFZc40uYNjwzAV', 'MPREb_btORDp7IA4f'),
(69, 'TO THE MOON', '2021-11-06', 'https://i.scdn.co/image/ab67616d0000b2739af8418ffb638b3306a07714', '70uNWLPkbci5L1bZI1Mzp6', 'MPREb_qu0F0fkcyJq'),
(70, 'The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)', '1972-06-06', 'https://i.scdn.co/image/ab67616d0000b273c41f4e1133b0e6c5fcf58680', '48D1hRORqJq52qsnUYZX56', 'MPREb_NXCr0YMPIpQ'),
(71, 'måsstaden under vatten', '2021-10-15', 'https://i.scdn.co/image/ab67616d0000b2736818e47ef2372ed9f4f8e512', '4l7vAsUopNRu08SAkp9m8u', 'MPREb_zFnaONp2pVV'),
(72, 'Jar', '2013-04-05', 'https://i.scdn.co/image/ab67616d00004851aa28c876738d3ae18c1d8e2f', '6JLO3HVtVEKLHqbgs6ujdw', 'MPREb_T0qXDta1ePs'),
(73, 'See You On the Other Side', '2005-12-06', 'https://i.scdn.co/image/ab67616d0000b2731c5b1ca14c87e31ffb3b095a', '2c7ynrgZP08xNtkJi9MhjF', 'MPREb_oDHD6fqBlEy'),
(74, 'Impulse Voices', '2020-11-27', 'https://i.scdn.co/image/ab67616d0000b273a89b3eb32273ffac4fd2f3f6', '36vhZCfOCcpgEk7tXWBUdZ', 'MPREb_Khw4k6KokXa'),
(75, 'Black Laden Crown', '2017-05-26', 'https://i.scdn.co/image/ab67616d0000b273e7781592571432630dc7c8c3', '0lO6s4Rr8FBieiSFie5GO6', 'MPREb_m60dRP7LOPa'),
